EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	21:37:31	0	0.1000	0.007005688341932229	0.0009424208546988666		0.9997
2	21:50:29	0	0.1000	0.0013865314515874637	0.0007725355098955333		0.9998
3	22:01:29	0	0.1000	0.0010426083367080436	0.000515893567353487		0.9998
4	22:11:31	1	0.1000	0.0010144814260991692	0.0013346497435122728		0.9997
5	22:21:13	2	0.1000	0.0009920659119428336	0.0005379541544243693		0.9998
6	22:31:20	3	0.1000	0.0010587797197936935	0.000892516050953418		0.9998
7	22:41:59	4	0.1000	0.0008621925794808552	0.0008064075373113155		0.9998
8	22:52:36	1	0.0500	0.0008075173992434479	0.0005345970275811851		0.9998
9	23:02:47	2	0.0500	0.000731073996334196	0.0005398467765189707		0.9998
10	23:12:48	0	0.0500	0.0007000347918036083	0.0004569814773276448		0.9998
11	23:23:31	1	0.0500	0.0007187440749044018	0.0005163941532373428		0.9998
12	23:32:58	2	0.0500	0.000748671631027228	0.000496959313750267		0.9998
13	23:42:20	3	0.0500	0.000783193307360384	0.0004584364651236683		0.9998
14	23:51:43	0	0.0500	0.0006957890033008677	0.00045535029494203627		0.9998
15	00:01:44	1	0.0500	0.0006514761315378964	0.0006950036040507257		0.9998
16	00:11:08	0	0.0500	0.0006951858777576511	0.000414311361964792		0.9998
17	00:20:58	0	0.0500	0.0005949204746242241	0.00039736932376399636		0.9999
18	00:30:50	1	0.0500	0.0006549592268721019	0.0005417444044724107		0.9998
19	00:40:11	2	0.0500	0.0006606985747614043	0.0004346835776232183		0.9998
20	00:49:34	3	0.0500	0.0005890207203470428	0.000669807312078774		0.9998
21	00:58:55	0	0.0500	0.0005931733206512098	0.000368967856047675		0.9999
22	01:08:50	1	0.0500	0.0005345358036626473	0.00034007462090812624		0.9998
23	01:18:12	0	0.0500	0.0006067134716228813	0.0003522391489241272		0.9999
24	01:28:08	0	0.0500	0.000516379041056304	0.0003301367105450481		0.9999
25	01:37:56	1	0.0500	0.0005498284672124913	0.0005273263668641448		0.9998
26	01:47:20	0	0.0500	0.00048060644434001716	0.0003236537449993193		0.9999
27	01:57:15	1	0.0500	0.0005666411932743337	0.00032912680762819946		0.9999
28	02:06:38	2	0.0500	0.00046890764830589835	0.0003881795855704695		0.9999
29	02:16:01	0	0.0500	0.0004921441088793227	0.0003162016218993813		0.9999
30	02:25:50	1	0.0500	0.00041614394101802864	0.0003216553886886686		0.9999
